Index,Variable
1569,getH6R
1580,getH6R
1703,getH6R
1755,getH6R
1826,getH6R
1829,getH6R
1888,getH6R
1944,getH6R
2029,getH6R
2148,getH6R
2195,getH6R
588,getH7B
946,getH7B
1261,getH7B
1273,getH7B
1320,getH7B
1328,getH7B
1423,getH7B
1471,getH7B
1618,getH7B
1704,getH7B
1709,getH7B
1755,getH7B
1826,getH7B
1829,getH7B
328,getH7R
582,getH7R
788,getH7R
873,getH7R
1237,getH7R
1392,getH7R
1755,getH7R
1826,getH7R
1829,getH7R
1888,getH7R
2029,getH7R
2183,getH7R
2195,getH7R
304,getH8B
395,getH8B
774,getH8B
1521,getH8B
1832,getH8B
2249,getH8B
2369,getH8B
73,getH8R
86,getH8R
93,getH8R
94,getH8R
105,getH8R
304,getH8R
373,getH8R
390,getH8R
420,getH8R
522,getH8R
578,getH8R
629,getH8R
655,getH8R
718,getH8R
745,getH8R
1048,getH8R
1144,getH8R
1153,getH8R
1183,getH8R
1230,getH8R
1237,getH8R
1265,getH8R
1273,getH8R
1293,getH8R
1335,getH8R
1556,getH8R
1659,getH8R
1665,getH8R
1682,getH8R
1844,getH8R
1852,getH8R
1884,getH8R
1902,getH8R
2183,getH8R
2362,getH8R
2368,getH8R
188,getH9B
304,getH9B
395,getH9B
454,getH9B
774,getH9B
1820,getH9B
1832,getH9B
2249,getH9B
2369,getH9B
73,getH9R
86,getH9R
93,getH9R
304,getH9R
373,getH9R
388,getH9R
390,getH9R
420,getH9R
522,getH9R
573,getH9R
578,getH9R
591,getH9R
615,getH9R
655,getH9R
718,getH9R
926,getH9R
952,getH9R
978,getH9R
1048,getH9R
1072,getH9R
1144,getH9R
1153,getH9R
1183,getH9R
1230,getH9R
1237,getH9R
1265,getH9R
1273,getH9R
1293,getH9R
1335,getH9R
1455,getH9R
1556,getH9R
1659,getH9R
1665,getH9R
1682,getH9R
1718,getH9R
1755,getH9R
1820,getH9R
1852,getH9R
1884,getH9R
1902,getH9R
2183,getH9R
2362,getH9R
2368,getH9R
22,getNHoles
80,getNHoles
119,getNHoles
177,getNHoles
179,getNHoles
292,getNHoles
304,getNHoles
432,getNHoles
479,getNHoles
557,getNHoles
559,getNHoles
560,getNHoles
565,getNHoles
584,getNHoles
684,getNHoles
1108,getNHoles
1142,getNHoles
1157,getNHoles
1158,getNHoles
1162,getNHoles
1691,getNHoles
2286,getNHoles
291,getNObjects
578,getNObjects
585,getNObjects
768,getNObjects
1048,getNObjects
1627,getNObjects
1628,getNObjects
1890,getNObjects
1931,getNObjects
2023,getNObjects
2263,getNObjects
2348,getNObjects
2405,getNObjects
22,getNucleusArea
634,getNucleusArea
1072,getNucleusArea
1616,getNucleusArea
1627,getNucleusArea
1654,getNucleusArea
1813,getNucleusArea
1890,getNucleusArea
1919,getNucleusArea
1931,getNucleusArea
2020,getNucleusArea
2023,getNucleusArea
2405,getNucleusArea
22,getNucleusAreaBbox
72,getNucleusAreaBbox
534,getNucleusAreaBbox
634,getNucleusAreaBbox
638,getNucleusAreaBbox
1072,getNucleusAreaBbox
1314,getNucleusAreaBbox
1616,getNucleusAreaBbox
1627,getNucleusAreaBbox
1636,getNucleusAreaBbox
1654,getNucleusAreaBbox
1813,getNucleusAreaBbox
1890,getNucleusAreaBbox
1919,getNucleusAreaBbox
1931,getNucleusAreaBbox
2020,getNucleusAreaBbox
2023,getNucleusAreaBbox
2405,getNucleusAreaBbox
22,getNucleusAreaConvex
634,getNucleusAreaConvex
638,getNucleusAreaConvex
1072,getNucleusAreaConvex
1616,getNucleusAreaConvex
1627,getNucleusAreaConvex
1654,getNucleusAreaConvex
1813,getNucleusAreaConvex
1890,getNucleusAreaConvex
1919,getNucleusAreaConvex
1931,getNucleusAreaConvex
2020,getNucleusAreaConvex
2023,getNucleusAreaConvex
2405,getNucleusAreaConvex
22,getNucleusAxisMajor
72,getNucleusAxisMajor
583,getNucleusAxisMajor
860,getNucleusAxisMajor
1120,getNucleusAxisMajor
2405,getNucleusAxisMajor
1072,getNucleusAxisMinor
2405,getNucleusAxisMinor
2405,getNucleusDiam
22,getNucleusFeretDiam
72,getNucleusFeretDiam
583,getNucleusFeretDiam
638,getNucleusFeretDiam
860,getNucleusFeretDiam
2405,getNucleusFeretDiam
82,getNucleusMaxR
193,getNucleusMaxR
427,getNucleusMaxR
583,getNucleusMaxR
671,getNucleusMaxR
677,getNucleusMaxR
696,getNucleusMaxR
700,getNucleusMaxR
705,getNucleusMaxR
746,getNucleusMaxR
755,getNucleusMaxR
773,getNucleusMaxR
979,getNucleusMaxR
1008,getNucleusMaxR
1018,getNucleusMaxR
1047,getNucleusMaxR
1059,getNucleusMaxR
1079,getNucleusMaxR
1084,getNucleusMaxR
1114,getNucleusMaxR
1117,getNucleusMaxR
1147,getNucleusMaxR
1438,getNucleusMaxR
1931,getNucleusMaxR
2309,getNucleusMaxR
2368,getNucleusMinR
22,getNucleusPerim
1654,getNucleusPerim
2405,getNucleusPerim
31,getNucleusRoundness
184,getNucleusRoundness
263,getNucleusRoundness
294,getNucleusRoundness
331,getNucleusRoundness
582,getNucleusRoundness
621,getNucleusRoundness
753,getNucleusRoundness
759,getNucleusRoundness
926,getNucleusRoundness
946,getNucleusRoundness
1083,getNucleusRoundness
1168,getNucleusRoundness
1315,getNucleusRoundness
1328,getNucleusRoundness
1423,getNucleusRoundness
1435,getNucleusRoundness
1471,getNucleusRoundness
1577,getNucleusRoundness
1606,getNucleusRoundness
1799,getNucleusRoundness
1802,getNucleusRoundness
1818,getNucleusRoundness
1826,getNucleusRoundness
1829,getNucleusRoundness
2148,getNucleusRoundness
2250,getNucleusRoundness
21,getNucleusSolidity
31,getNucleusSolidity
38,getNucleusSolidity
60,getNucleusSolidity
65,getNucleusSolidity
110,getNucleusSolidity
184,getNucleusSolidity
189,getNucleusSolidity
263,getNucleusSolidity
294,getNucleusSolidity
302,getNucleusSolidity
320,getNucleusSolidity
331,getNucleusSolidity
376,getNucleusSolidity
427,getNucleusSolidity
451,getNucleusSolidity
455,getNucleusSolidity
456,getNucleusSolidity
474,getNucleusSolidity
517,getNucleusSolidity
523,getNucleusSolidity
528,getNucleusSolidity
576,getNucleusSolidity
578,getNucleusSolidity
582,getNucleusSolidity
588,getNucleusSolidity
600,getNucleusSolidity
614,getNucleusSolidity
621,getNucleusSolidity
635,getNucleusSolidity
638,getNucleusSolidity
672,getNucleusSolidity
759,getNucleusSolidity
761,getNucleusSolidity
781,getNucleusSolidity
788,getNucleusSolidity
793,getNucleusSolidity
862,getNucleusSolidity
922,getNucleusSolidity
940,getNucleusSolidity
946,getNucleusSolidity
953,getNucleusSolidity
956,getNucleusSolidity
975,getNucleusSolidity
1027,getNucleusSolidity
1031,getNucleusSolidity
1051,getNucleusSolidity
1083,getNucleusSolidity
1084,getNucleusSolidity
1101,getNucleusSolidity
1133,getNucleusSolidity
1167,getNucleusSolidity
1168,getNucleusSolidity
1177,getNucleusSolidity
1183,getNucleusSolidity
1261,getNucleusSolidity
1275,getNucleusSolidity
1308,getNucleusSolidity
1315,getNucleusSolidity
1322,getNucleusSolidity
1328,getNucleusSolidity
1392,getNucleusSolidity
1423,getNucleusSolidity
1435,getNucleusSolidity
1441,getNucleusSolidity
1456,getNucleusSolidity
1461,getNucleusSolidity
1466,getNucleusSolidity
1468,getNucleusSolidity
1471,getNucleusSolidity
1556,getNucleusSolidity
1569,getNucleusSolidity
1577,getNucleusSolidity
1580,getNucleusSolidity
1601,getNucleusSolidity
1618,getNucleusSolidity
1704,getNucleusSolidity
1735,getNucleusSolidity
1755,getNucleusSolidity
1799,getNucleusSolidity
1818,getNucleusSolidity
1826,getNucleusSolidity
1827,getNucleusSolidity
1829,getNucleusSolidity
1831,getNucleusSolidity
1835,getNucleusSolidity
1865,getNucleusSolidity
1944,getNucleusSolidity
2031,getNucleusSolidity
2062,getNucleusSolidity
2082,getNucleusSolidity
2109,getNucleusSolidity
2118,getNucleusSolidity
2148,getNucleusSolidity
2165,getNucleusSolidity
2195,getNucleusSolidity
2201,getNucleusSolidity
2295,getNucleusSolidity
2360,getNucleusSolidity
2361,getNucleusSolidity
2408,getNucleusSolidity
2413,getNucleusSolidity
